Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
410660 Cruzeiro do Oeste,-,-,-,-,1,1,2,-,1,-,-,-,-,5
410670 Cruzeiro do Sul,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410690 Curitiba,-,1,1,-,60,168,135,66,30,13,3,2,6,485
410700 Curiúva,-,-,-,-,1,-,-,-,-,-,-,-,-,1
410710 Diamante do Norte,-,-,-,-,-,-,-,-,-,1,-,-,-,1
410712 Diamante do Sul,-,-,-,-,-,1,-,-,-,-,-,-,-,1
410720 Dois Vizinhos,-,-,-,-,-,-,-,-,3,-,-,-,-,3
410725 Douradina,-,-,-,-,-,1,2,-,-,-,-,-,-,3
410730 Doutor Camargo,-,-,-,-,-,-,1,1,-,-,-,-,-,2
412863 Doutor Ulysses,-,-,-,-,-,2,-,-,-,-,-,-,-,2
410740 Enéas Marques,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410750 Engenheiro Beltrão,-,-,-,-,-,1,-,2,1,-,-,-,-,4
410752 Esperança Nova,-,-,-,-,-,-,-,1,1,1,-,-,-,3
410754 Espigão Alto do Iguaçu,-,-,-,-,1,-,2,1,-,1,-,1,-,6
410760 Faxinal,-,-,-,-,-,-,-,2,-,-,-,-,-,2
410765 Fazenda Rio Grande,-,-,-,-,7,19,13,2,1,1,1,-,-,44
410770 Fênix,-,-,-,-,1,-,1,-,-,-,-,-,-,2
410775 Figueira,-,-,-,-,-,-,1,1,-,-,-,-,-,2
410790 Floresta,-,-,-,-,-,1,-,-,-,-,-,-,-,1
410800 Florestópolis,-,-,-,-,-,-,-,-,-,-,1,-,-,1
410820 Formosa do Oeste,-,-,-,-,-,-,-,1,-,-,-,-,-,1
410830 Foz do Iguaçu,-,-,-,1,12,35,21,10,3,2,1,-,-,85
410832 Francisco Alves,-,-,-,-,-,-,1,1,1,-,-,-,-,3
410840 Francisco Beltrão,-,-,-,-,3,5,1,1,5,1,-,-,-,16
410850 General Carneiro,-,-,-,-,-,1,-,1,-,-,-,-,-,2
410855 Godoy Moreira,-,-,-,-,-,1,-,-,-,-,-,-,-,1
410860 Goioerê,-,-,-,-,-,3,2,1,-,1,-,-,-,7
410865 Goioxim,-,-,-,-,-,1,-,-,1,-,-,-,-,2
410880 Guaíra,-,-,-,-,-,6,3,2,-,-,-,-,-,11
410890 Guairaçá,-,-,-,-,-,2,-,1,-,-,-,-,-,3
410900 Guapirama,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410930 Guaraniaçu,-,-,-,-,-,1,1,-,1,-,-,-,-,3
410940 Guarapuava,-,-,-,-,8,21,13,6,4,3,1,-,2,58
410960 Guaratuba,-,-,-,-,8,8,4,1,-,1,-,-,1,23
410970 Ibaiti,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410975 Ibema,-,-,-,-,1,5,-,1,-,-,-,-,-,7
410980 Ibiporã,-,-,-,-,1,10,4,1,-,1,-,-,-,17
411000 Iguaraçu,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411007 Imbaú,-,-,-,-,2,-,3,-,-,-,1,-,-,6
411010 Imbituva,-,-,-,-,2,4,1,-,-,1,-,-,-,8
411060 Iporã,-,-,-,-,-,1,2,1,1,-,-,-,-,5
411070 Irati,-,-,-,-,-,2,3,-,-,-,-,-,-,5
411080 Iretama,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411090 Itaguajé,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411095 Itaipulândia,-,-,-,-,1,-,1,1,-,-,-,-,-,3
411100 Itambaracá,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411120 Itapejara d'Oeste,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411125 Itaperuçu,-,-,-,-,-,5,2,1,-,-,-,-,-,8
411130 Itaúna do Sul,-,-,-,-,1,1,-,-,-,-,-,-,-,2
411140 Ivaí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411150 Ivaiporã,-,-,1,-,-,3,2,-,1,-,1,-,-,8
411155 Ivaté,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411170 Jaboti,-,-,-,-,1,-,-,-,-,-,-,-,-,1
411180 Jacarezinho,-,-,-,-,-,2,1,5,1,-,1,-,-,10
411190 Jaguapitã,-,-,-,-,-,1,2,-,1,-,-,-,-,4
411200 Jaguariaíva,-,-,-,-,-,1,3,2,-,-,-,-,-,6
411210 Jandaia do Sul,-,-,-,-,-,1,-,1,1,-,-,-,-,3
411220 Janiópolis,-,-,-,-,-,1,-,1,-,-,-,-,-,2
411250 Jardim Alegre,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411270 Jataizinho,-,-,-,-,1,4,2,-,-,-,-,-,-,7
411275 Jesuítas,-,-,-,-,-,1,-,-,1,-,-,-,-,2
411280 Joaquim Távora,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411295 Juranda,-,-,-,-,-,1,-,1,-,-,-,-,-,2
411320 Lapa,-,-,-,1,2,3,-,-,-,-,-,-,-,6
411325 Laranjal,-,-,-,-,-,2,-,-,-,-,-,-,-,2
411330 Laranjeiras do Sul,-,-,-,-,-,2,4,1,2,-,-,-,-,9
411345 Lindoeste,-,-,-,-,-,2,-,1,-,-,-,-,-,3
411350 Loanda,-,-,-,1,-,1,3,-,-,-,1,-,-,6
411360 Lobato,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411370 Londrina,1,-,-,1,22,42,33,9,11,5,1,1,3,129
411380 Lupionópolis,-,-,-,-,-,-,-,-,1,-,-,-,-,1
411410 Mandaguaçu,-,-,-,-,1,2,-,-,-,-,-,-,-,3
411420 Mandaguari,-,-,-,-,1,1,1,2,-,-,1,-,-,6
411430 Mandirituba,-,-,-,-,3,3,2,1,1,2,-,-,-,12
411435 Manfrinópolis,-,-,-,-,-,-,1,-,1,-,-,-,-,2
411440 Mangueirinha,-,-,-,-,-,-,1,1,1,1,-,-,-,4
411460 Marechal Cândido Rondon,-,-,-,-,-,-,1,2,1,-,-,-,-,4
411470 Maria Helena,-,-,-,-,-,1,-,1,-,-,-,-,-,2
411480 Marialva,-,-,-,-,1,-,-,-,1,-,-,-,-,2
411490 Marilândia do Sul,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411500 Marilena,-,-,-,-,-,-,-,-,1,-,-,-,-,1
411510 Mariluz,-,-,-,-,2,-,-,-,-,-,-,-,-,2
411520 Maringá,2,-,-,-,4,16,11,8,5,2,1,1,-,50
411535 Maripá,-,-,-,-,1,1,-,-,-,-,-,-,-,2
411550 Marumbi,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411560 Matelândia,-,-,-,-,1,-,-,1,-,-,-,-,-,2
411570 Matinhos,-,-,-,-,2,9,10,8,1,-,-,1,-,31
411573 Mato Rico,-,-,-,-,-,-,-,-,1,-,-,-,-,1
411575 Mauá da Serra,-,-,-,-,-,1,4,1,1,1,-,-,-,8
411580 Medianeira,-,-,-,-,1,1,3,1,-,-,-,-,-,6
411600 Miraselva,-,-,-,-,1,-,-,-,-,-,-,-,-,1
411605 Missal,-,-,-,-,-,2,1,-,-,-,1,-,-,4
411610 Moreira Sales,-,-,-,1,-,3,-,1,-,-,-,-,-,5
411620 Morretes,-,-,-,-,-,-,1,-,1,-,-,-,-,2
411640 Nossa Senhora das Graças,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411670 Nova Aurora,-,-,-,-,-,3,-,-,-,-,-,-,-,3
411680 Nova Cantu,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411690 Nova Esperança,-,-,-,-,-,1,-,-,1,-,1,-,-,3
411705 Nova Laranjeiras,-,-,-,-,1,3,1,1,-,-,-,-,-,6
411710 Nova Londrina,-,-,-,-,1,-,-,-,1,-,-,-,-,2
411730 Ortigueira,-,-,-,-,1,2,7,3,3,-,1,-,-,17
411745 Ouro Verde do Oeste,-,-,-,-,-,2,-,-,-,-,-,-,-,2
411750 Paiçandu,-,-,-,-,2,9,1,1,1,-,-,-,-,14
411760 Palmas,-,-,-,-,-,5,3,2,-,-,1,-,-,11
411770 Palmeira,-,-,-,-,-,2,-,-,2,2,-,-,-,6
411780 Palmital,-,-,-,-,-,-,-,1,1,-,-,-,-,2
411790 Palotina,-,-,-,-,1,2,-,1,-,2,-,-,-,6
411800 Paraíso do Norte,-,-,-,-,-,2,2,-,-,-,-,-,-,4
411810 Paranacity,-,-,-,1,-,1,-,-,1,-,-,-,-,3
411820 Paranaguá,-,-,-,-,6,25,11,5,4,2,-,-,-,53
411840 Paranavaí,-,1,-,-,1,4,7,-,2,-,1,-,-,16
411850 Pato Branco,-,-,-,-,1,3,2,3,1,4,-,-,-,14
411880 Peabiru,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411885 Perobal,-,-,1,-,1,2,-,1,-,-,-,-,-,5
411890 Pérola,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411910 Piên,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411915 Pinhais,-,-,-,-,6,12,7,7,1,1,-,-,-,34
411930 Pinhão,-,-,-,1,3,4,1,3,1,-,-,-,1,14
411940 Piraí do Sul,-,-,-,-,2,3,1,2,-,-,-,-,-,8
411950 Piraquara,-,-,-,1,10,28,16,8,2,1,-,-,1,67
411960 Pitanga,-,-,-,-,1,1,-,-,-,1,-,-,-,3
411965 Pitangueiras,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411970 Planaltina do Paraná,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411980 Planalto,-,-,-,-,-,1,1,-,-,-,-,-,-,2
411990 Ponta Grossa,-,-,-,-,7,20,20,9,5,3,3,-,-,67
411995 Pontal do Paraná,-,-,-,-,2,3,5,-,3,-,-,-,-,13
412000 Porecatu,-,-,-,-,-,1,2,-,-,-,-,-,-,3
412010 Porto Amazonas,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412015 Porto Barreiro,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412035 Pranchita,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412040 Presidente Castelo Branco,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412060 Prudentópolis,-,-,-,1,3,3,2,1,1,-,-,-,-,11
412065 Quarto Centenário,-,-,-,-,-,-,-,-,1,-,-,-,-,1
412070 Quatiguá,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412080 Quatro Barras,-,-,-,-,1,1,2,-,1,-,-,-,2,7
412085 Quatro Pontes,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412090 Quedas do Iguaçu,-,-,-,-,2,9,3,3,1,-,1,-,-,19
412100 Querência do Norte,-,-,-,1,1,2,3,2,-,-,-,-,-,9
412120 Quitandinha,-,-,-,-,-,-,3,-,1,-,-,-,-,4
412125 Ramilândia,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412130 Rancho Alegre,-,-,-,-,-,-,-,-,1,-,-,-,-,1
412140 Realeza,-,-,-,-,1,-,1,2,-,-,-,-,-,4
412150 Rebouças,-,-,-,-,-,-,-,-,1,-,-,-,-,1
412170 Reserva,-,-,-,-,1,6,2,1,1,1,-,-,-,12
412175 Reserva do Iguaçu,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412180 Ribeirão Claro,-,-,-,-,-,1,1,-,-,-,-,-,-,2
412200 Rio Azul,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412215 Rio Bonito do Iguaçu,-,-,-,-,1,2,1,1,2,-,1,-,-,8
412220 Rio Branco do Sul,-,-,-,-,2,8,2,1,2,2,-,-,-,17
412230 Rio Negro,-,-,-,-,-,1,2,-,1,-,-,-,-,4
412240 Rolândia,-,-,-,-,1,4,4,3,-,1,-,-,-,13
412300 Salto do Lontra,-,-,-,-,-,1,1,-,1,-,-,-,-,3
412310 Santa Amélia,-,-,-,-,-,-,1,-,1,-,-,-,-,2
412320 Santa Cecília do Pavão,-,-,-,-,1,-,-,-,-,-,-,-,-,1
412340 Santa Fé,-,-,-,-,-,2,1,-,-,-,-,-,-,3
412350 Santa Helena,-,-,-,-,-,2,-,2,-,-,-,-,-,4
412370 Santa Isabel do Ivaí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412380 Santa Izabel do Oeste,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412382 Santa Lúcia,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412385 Santa Maria do Oeste,-,-,-,-,-,-,-,1,1,-,-,1,-,3
412390 Santa Mariana,-,-,-,-,-,1,1,-,-,-,-,-,-,2
412395 Santa Mônica,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412402 Santa Tereza do Oeste,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412405 Santa Terezinha de Itaipu,-,-,-,-,1,2,2,-,-,-,-,-,-,5
412400 Santana do Itararé,-,-,-,-,-,-,-,-,1,-,-,-,-,1
412410 Santo Antônio da Platina,-,-,-,-,-,6,2,-,-,1,-,-,-,9
412440 Santo Antônio do Sudoeste,-,-,-,-,-,3,-,1,1,-,-,-,-,5
412470 São Jerônimo da Serra,-,-,-,1,2,2,1,2,-,-,-,-,-,8
412490 São João do Caiuá,-,-,-,-,1,1,1,-,-,-,-,-,-,3
412500 São João do Ivaí,-,-,-,-,-,2,-,-,-,-,-,-,-,2
412510 São João do Triunfo,-,-,-,1,-,-,-,-,-,-,-,-,-,1
412530 São Jorge do Ivaí,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412535 São Jorge do Patrocínio,-,-,-,-,2,-,-,-,-,-,-,-,-,2
412545 São José das Palmeiras,-,-,-,-,-,-,-,-,1,-,-,-,-,1
412550 São José dos Pinhais,-,-,-,-,11,55,29,14,7,3,-,1,1,121
412560 São Mateus do Sul,-,-,-,-,1,1,-,1,-,-,-,-,-,3
412570 São Miguel do Iguaçu,-,-,-,-,3,8,4,2,-,-,-,-,-,17
412575 São Pedro do Iguaçu,-,-,-,-,-,1,1,-,-,-,-,-,-,2
412580 São Pedro do Ivaí,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412600 São Sebastião da Amoreira,-,-,-,-,1,-,-,-,-,-,-,-,-,1
412620 Sapopema,-,-,-,-,1,-,-,-,-,1,-,-,-,2
412625 Sarandi,-,-,-,-,7,17,8,3,3,1,1,1,-,41
412627 Saudade do Iguaçu,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412635 Serranópolis do Iguaçu,-,-,-,-,-,-,-,-,-,-,-,1,-,1
412650 Sertanópolis,-,-,-,-,1,-,-,-,-,-,-,-,-,1
412665 Sulina,-,-,-,-,-,-,-,-,1,-,-,-,-,1
412667 Tamarana,-,-,-,-,1,3,6,-,-,-,-,-,-,10
412680 Tapejara,-,-,-,-,2,2,-,1,-,-,-,-,-,5
412690 Tapira,-,-,-,-,-,2,1,-,-,-,-,-,-,3
412700 Teixeira Soares,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412710 Telêmaco Borba,-,-,-,-,7,6,2,-,2,-,1,-,-,18
412720 Terra Boa,-,-,-,-,-,-,1,1,-,-,-,-,-,2
412730 Terra Rica,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412740 Terra Roxa,-,-,-,-,-,1,2,4,-,-,-,-,-,7
412750 Tibagi,-,-,-,-,1,2,-,-,2,-,-,-,-,5
412760 Tijucas do Sul,-,-,-,-,-,3,-,2,-,-,-,-,-,5
412770 Toledo,-,-,-,-,2,8,4,6,-,-,1,1,-,22
412785 Três Barras do Paraná,-,-,-,-,1,2,1,1,-,-,-,-,-,5
412788 Tunas do Paraná,-,-,-,-,-,2,-,-,-,-,-,-,-,2
412790 Tuneiras do Oeste,-,-,-,-,-,2,-,-,-,-,-,-,-,2
412795 Tupãssi,-,-,-,-,-,-,1,-,1,-,-,-,-,2
412796 Turvo,-,-,-,-,-,-,-,-,1,1,1,-,-,3
412800 Ubiratã,-,-,-,-,1,-,1,-,1,-,-,-,-,3
412810 Umuarama,-,-,1,1,8,13,7,3,6,1,1,1,-,42
412820 União da Vitória,-,-,-,-,2,6,3,4,-,2,-,-,-,17
412840 Uraí,-,-,-,-,-,-,-,-,-,-,-,-,1,1
412853 Ventania,-,-,-,-,1,1,-,-,-,-,-,-,-,2
412855 Vera Cruz do Oeste,-,-,-,-,-,2,2,-,2,-,-,-,-,6
412865 Virmond,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412870 Vitorino,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412880 Xambrê,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420005 Abdon Batista,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420010 Abelardo Luz,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420020 Agrolândia,-,-,-,-,-,-,-,-,-,-,1,-,-,1
420040 Água Doce,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420060 Águas Mornas,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420080 Anchieta,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420130 Araquari,-,-,-,-,-,2,7,-,1,-,-,-,-,10
420140 Araranguá,-,-,-,-,1,4,3,2,1,-,-,-,-,11
420195 Balneário Arroio do Silva,-,-,-,-,2,1,1,1,1,1,-,-,-,7
420205 Balneário Barra do Sul,-,-,-,-,-,-,-,1,1,-,-,-,-,2
420200 Balneário Camboriú,-,-,-,-,6,14,6,3,-,2,-,-,-,31
421280 Balneário Piçarras,-,-,-,-,1,5,1,1,-,-,-,-,-,8
422000 Balneário Rincão,-,-,-,-,1,2,-,1,1,-,-,-,-,5
420209 Barra Bonita,-,-,-,-,-,2,-,1,-,-,-,-,-,3
420210 Barra Velha,-,-,-,-,-,3,3,1,1,1,-,-,-,9
420230 Biguaçu,-,-,-,-,2,2,1,1,-,1,-,-,-,7
420240 Blumenau,-,-,-,-,2,16,12,7,7,3,-,-,-,47
420260 Bom Retiro,-,-,-,-,-,-,1,-,-,-,1,-,-,2
420245 Bombinhas,-,-,-,-,-,1,1,-,-,-,-,-,-,2
420280 Braço do Norte,1,-,-,-,-,1,-,-,-,-,-,-,-,2
420285 Braço do Trombudo,-,-,-,-,1,-,-,-,-,-,-,-,-,1
420287 Brunópolis,-,-,-,-,-,1,1,-,-,-,-,-,-,2
420290 Brusque,-,-,-,-,2,-,3,2,-,-,-,-,-,7
420300 Caçador,-,-,-,-,1,3,1,4,2,-,-,-,-,11
420310 Caibi,-,-,-,-,1,-,-,1,-,-,-,-,-,2
420315 Calmon,-,-,-,-,-,-,-,2,-,-,-,-,-,2
420320 Camboriú,-,-,-,-,5,11,4,1,2,1,-,-,-,24
420330 Campo Alegre,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420360 Campos Novos,-,-,-,-,1,-,2,1,-,-,-,-,-,4
420370 Canelinha,-,-,-,-,-,-,-,1,1,-,-,-,-,2
420380 Canoinhas,-,-,-,-,-,1,1,-,1,1,-,-,-,4
420325 Capão Alto,-,-,-,-,-,-,1,-,-,-,-,-,-,1
420390 Capinzal,1,-,-,-,-,-,1,-,-,-,-,-,-,2
420395 Capivari de Baixo,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420400 Catanduvas,-,-,-,-,1,-,1,-,-,-,-,-,-,2
420410 Caxambu do Sul,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420417 Cerro Negro,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420420 Chapecó,-,-,-,-,10,12,11,3,2,2,-,-,-,40
420425 Cocal do Sul,-,-,-,-,-,-,-,1,1,-,-,-,-,2
420430 Concórdia,-,-,-,-,-,-,3,-,1,-,-,-,-,4
420440 Coronel Freitas,-,-,-,-,-,1,-,-,-,1,-,-,-,2
420455 Correia Pinto,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420460 Criciúma,-,-,-,-,4,9,7,1,2,-,-,-,-,23
420470 Cunha Porã,-,-,-,1,1,1,-,-,-,-,-,-,-,3
420480 Curitibanos,-,-,-,-,-,2,2,1,2,1,-,1,-,9
420500 Dionísio Cerqueira,-,-,-,-,1,2,-,-,-,-,-,-,-,3
420517 Entre Rios,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420530 Faxinal dos Guedes,-,-,-,-,-,-,-,-,2,-,-,-,-,2
420540 Florianópolis,1,-,-,-,33,60,37,15,6,3,1,1,-,157
420545 Forquilhinha,-,-,-,-,1,1,1,1,1,-,-,-,-,5
420550 Fraiburgo,-,-,-,-,-,-,2,-,-,-,-,-,-,2
420560 Galvão,-,-,-,-,-,-,-,-,-,1,-,-,-,1
420570 Garopaba,-,-,-,-,-,2,-,1,-,-,-,-,-,3
420580 Garuva,-,-,-,-,1,3,-,-,-,-,1,-,-,5
420590 Gaspar,-,-,-,-,-,5,-,-,-,1,-,-,-,6
420600 Governador Celso Ramos,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420630 Guabiruba,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420650 Guaramirim,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420665 Guatambú,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420670 Herval d'Oeste,-,-,-,-,1,-,-,-,-,-,-,-,-,1
420690 Ibirama,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420700 Içara,-,-,-,-,1,1,1,1,-,-,-,-,-,4
420710 Ilhota,-,-,-,-,1,2,-,2,-,-,-,-,1,6
420730 Imbituba,-,-,-,-,1,1,2,1,-,-,-,-,-,5
420740 Imbuia,-,-,-,-,-,-,-,-,-,1,-,-,-,1
420750 Indaial,-,-,-,-,-,3,-,-,-,-,-,-,-,3
420765 Iporã do Oeste,-,-,-,-,-,-,1,-,-,-,-,-,-,1
420768 Ipuaçu,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420820 Itajaí,-,-,-,-,8,14,11,7,4,1,-,-,-,45
420830 Itapema,-,-,-,-,-,9,3,2,-,-,-,-,-,14
420845 Itapoá,-,-,-,-,2,6,2,3,1,-,-,-,-,14
420850 Ituporanga,-,-,-,-,-,-,1,-,1,-,-,-,-,2
420880 Jaguaruna,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420890 Jaraguá do Sul,-,-,-,-,-,3,3,2,-,-,-,-,-,8
420900 Joaçaba,-,-,-,-,1,2,1,-,1,-,-,-,-,5
420910 Joinville,-,1,1,-,18,60,35,16,6,2,-,1,3,143
420930 Lages,-,-,-,-,-,5,2,5,2,1,-,-,-,15
420940 Laguna,-,-,-,-,1,5,3,-,1,-,-,-,-,10
420950 Laurentino,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420960 Lauro Muller,-,-,-,-,-,-,1,-,1,-,-,-,-,2
420970 Lebon Régis,-,-,-,-,-,-,1,-,-,-,-,-,-,1
420990 Lontras,-,-,-,-,1,-,-,-,-,-,-,-,-,1
421003 Luzerna,-,-,-,-,-,-,-,-,1,-,-,-,-,1
421010 Mafra,-,-,-,-,1,3,1,-,3,1,-,-,-,9
421055 Marema,-,-,-,-,-,-,-,1,-,-,-,-,-,1
421100 Mondaí,-,-,-,-,-,-,-,1,-,1,-,-,-,2
421110 Monte Castelo,-,-,-,-,-,-,-,2,-,-,-,-,-,2
421130 Navegantes,-,-,-,1,6,9,8,-,1,2,-,-,-,27
421140 Nova Erechim,-,-,-,-,-,-,-,1,-,-,-,-,-,1
421150 Nova Trento,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421170 Orleans,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421175 Otacílio Costa,-,-,-,-,-,-,-,2,-,-,-,-,-,2
421185 Ouro Verde,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421187 Paial,-,-,-,-,-,-,-,-,1,-,-,-,-,1
421190 Palhoça,-,-,-,-,3,15,11,4,1,-,-,-,-,34
421200 Palma Sola,-,-,-,-,-,1,1,-,-,-,-,-,-,2
421210 Palmitos,-,-,-,-,-,1,-,1,-,-,-,-,-,2
421220 Papanduva,-,-,-,-,1,-,-,-,1,-,-,-,-,2
421225 Passo de Torres,-,-,-,-,-,-,-,-,1,-,-,-,-,1
421227 Passos Maia,-,-,-,-,-,-,-,1,-,-,1,-,-,2
421250 Penha,-,-,-,-,-,1,2,-,1,-,-,-,-,4
421320 Pomerode,-,-,-,-,-,-,-,1,-,-,-,-,-,1
421330 Ponte Alta,-,-,-,-,1,-,-,1,1,-,-,-,-,3
421350 Porto Belo,-,-,-,-,-,1,2,2,1,-,-,-,-,6
421360 Porto União,-,-,-,-,-,-,-,-,1,-,-,-,-,1
421370 Pouso Redondo,1,-,-,-,-,-,-,-,-,-,-,-,-,1
421415 Princesa,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421420 Quilombo,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421480 Rio do Sul,-,-,-,-,-,1,1,2,-,-,-,-,-,4
421500 Rio Negrinho,-,-,-,-,-,2,1,1,1,-,1,-,-,6
421507 Riqueza,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421545 Sangão,-,-,-,-,-,-,-,1,-,-,-,-,-,1
421550 Santa Cecília,-,-,-,-,1,1,1,-,2,-,-,-,-,5
421565 Santa Rosa do Sul,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421567 Santa Terezinha,-,-,-,-,-,3,-,-,-,-,-,-,-,3
421570 Santo Amaro da Imperatriz,-,-,-,-,-,1,1,1,-,-,-,-,-,3
421580 São Bento do Sul,-,-,-,-,2,2,2,-,-,-,-,-,-,6
421605 São Cristovão do Sul,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421610 São Domingos,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421620 São Francisco do Sul,-,-,-,-,3,6,3,-,3,-,-,-,-,15
421630 São João Batista,-,-,-,-,1,1,2,1,1,-,-,-,-,6
421635 São João do Itaperiú,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421640 São João do Sul,-,-,-,-,-,-,-,-,-,1,-,-,-,1
421650 São Joaquim,-,-,-,-,-,1,1,-,-,-,-,-,-,2
421660 São José,-,-,-,-,8,13,17,5,5,-,-,-,-,48
421670 São José do Cedro,-,-,-,-,-,1,-,1,-,-,-,-,-,2
421690 São Lourenço do Oeste,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421720 São Miguel do Oeste,-,-,-,-,1,2,3,-,-,-,-,-,-,6
421725 São Pedro de Alcântara,-,-,-,-,-,2,2,-,-,-,-,-,-,4
421740 Schroeder,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421750 Seara,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421770 Sombrio,-,-,-,-,-,1,1,1,-,-,-,-,-,3
421790 Tangará,-,-,-,-,-,-,-,-,-,-,1,-,-,1
421800 Tijucas,-,-,-,-,-,3,2,2,-,-,-,-,-,7
421825 Timbó Grande,-,-,-,-,-,-,1,-,-,-,1,-,-,2
421830 Três Barras,-,-,-,-,-,2,-,-,-,-,-,-,-,2
421840 Treze de Maio,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421860 Trombudo Central,-,-,-,-,-,-,1,-,-,-,1,-,-,2
421870 Tubarão,-,-,-,-,2,1,2,1,3,-,1,-,-,10
421880 Turvo,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421890 Urubici,-,-,-,-,-,1,-,-,2,-,-,-,-,3
421930 Videira,-,-,-,-,-,1,1,2,-,-,-,-,-,4
421950 Xanxerê,-,-,-,-,-,1,4,4,2,1,-,-,-,12
421970 Xaxim,-,-,-,-,-,1,1,1,-,-,-,-,-,3
430030 Alecrim,-,-,-,-,-,1,-,-,-,-,-,-,-,1
430040 Alegrete,-,-,-,-,2,7,3,5,3,1,-,-,-,21
430050 Alpestre,-,-,-,-,-,-,-,-,-,1,-,-,-,1
